rank,russian_verb,transliteration,english_verb,russian_sentence,sentence_transliteration,english_sentence,category
204,кричать,krichat',to shout/scream,Не кричи — соседи уже спят.,Ne krichi — sosedi uzhe spyat.,Don't shout — the neighbors are already sleeping.,communication
205,выбрать,vybrat',to choose (pf),Она выбрала красное платье для вечеринки.,Ona vybrala krasnoye plat'ye dlya vecherinki.,She chose a red dress for the party.,cognition
206,бросать,brosat',to throw/quit (impf),Он бросает мяч собаке в парке.,On brosayет myach sobake v parke.,He throws the ball to the dog in the park.,action
207,улыбаться,ulybat'sya,to smile,Она улыбается каждый раз когда меня видит.,Ona ulybayetsya kazhdyy raz kogda menya vidit.,She smiles every time she sees me.,emotion
208,опоздать,opozdat',to be late (pf),Я опоздал на поезд из-за пробки.,Ya opozdal na poyezd iz-za probki.,I was late for the train because of traffic.,motion
209,кончаться,konchat'sya,to end (impf),Фильм кончается через десять минут.,Fil'm konchayetsya cherez desyat' minut.,The movie ends in ten minutes.,change
210,приготовиться,prigotovit'sya,to get ready (pf),Мы приготовились к завтрашнему экзамену.,My prigotovilis' k zavtrashnemu ekzamenu.,We got ready for tomorrow's exam.,action
211,расти,rasti,to grow (impf),Цены на продукты растут каждый год.,Tseny na produkty rastut kazhdyy god.,Food prices grow every year.,change
212,снять,snyat',to take off/rent,Мы сняли квартиру недалеко от центра.,My snyali kvartiru nedaleko ot tsentra.,We rented an apartment near the center.,possession
213,ездить,yezdit',to go (by vehicle - hab),Я езжу на работу на метро.,Ya yezzhu na rabotu na metro.,I go to work by metro.,motion
214,спасти,spasti,to save/rescue,Пожарные спасли людей из горящего дома.,Pozharnyye spasli lyudey iz goryashchego doma.,Firefighters saved people from the burning house.,action
215,молчать,molchat',to be silent,Он молчал и ничего не отвечал.,On molchal i nichego ne otvechal.,He was silent and did not answer anything.,communication
216,заработать,zarabotat',to earn (pf),Она заработала достаточно денег за лето.,Ona zarabotala dostatochno deneg za leto.,She earned enough money over the summer.,possession
217,плакать,plakat',to cry,Ребёнок плачет потому что хочет есть.,Rebyonok plachet potomu chto khochet yest'.,The child is crying because he wants to eat.,emotion
218,устать,ustat',to get tired (pf),Я очень устал после долгого дня.,Ya ochen' ustal posle dolgogo dnya.,I am very tired after a long day.,state
219,ответить,otvetit',to reply (pf),Она быстро ответила на моё сообщение.,Ona bystro otvetila na moyo soobshcheniye.,She quickly replied to my message.,communication
220,бегать,begat',to run (habitual),Я бегаю в парке каждое утро.,Ya begayu v parke kazhdoye utro.,I run in the park every morning.,motion
221,умереть,umeret',to die,Великий писатель умер в прошлом веке.,Velikiy pisatel' umer v proshlom veke.,The great writer died in the last century.,existence
222,обидеть,obidet',to offend (pf),Я не хотел тебя обидеть своими словами.,Ya ne khotel tebya obidet' svoimi slovami.,I did not mean to offend you with my words.,emotion
223,составить,sostavit',to compose/compile,Она составила список покупок на неделю.,Ona sostavila spisok pokupok na nedelyu.,She compiled a shopping list for the week.,creation
224,заметить,zametit',to notice (pf),Ты заметил новую вывеску на магазине?,Ty zametil novuyu vyvesku na magazine?,Did you notice the new sign on the store?,perception
225,собрать,sobrat',to collect/gather (pf),Мы собрали все документы для визы.,My sobrali vse dokumenty dlya vizy.,We gathered all the documents for the visa.,action
226,мечтать,mechtat',to dream/daydream,Она мечтает побывать в Италии летом.,Ona mechtayet pobyvat' v Italii letom.,She dreams of visiting Italy in the summer.,emotion
227,отвечать,otvechat',to answer (impf),Он всегда отвечает на письма быстро.,On vsegda otvechayet na pis'ma bystro.,He always answers letters quickly.,communication
228,привезти,privezti,to bring (by transport pf),Папа привёз подарки из командировки.,Papa privyoz podarki iz komandirovki.,Dad brought gifts from his business trip.,motion
229,познакомиться,poznakomit'sya,to get acquainted,Мы познакомились на работе два года назад.,My poznakomilis' na rabote dva goda nazad.,We met at work two years ago.,social
230,встречаться,vstrechat'sya,to meet (impf/date),Мы встречаемся с друзьями по пятницам.,My vstrechayemsya s druz'yami po pyatnitsam.,We meet with friends on Fridays.,social
231,обещать,obeshchat',to promise (impf/pf),Обещай мне быть осторожным в дороге.,Obeshchay mne byt' ostorozhnym v doroge.,Promise me to be careful on the road.,communication
232,открывать,otkryvat',to open (impf),Магазин открывается в девять утра.,Magazin otkryvayetsya v devyat' utra.,The store opens at nine in the morning.,action
233,возвращаться,vozvrashchat'sya,to return (impf),Он возвращается домой поздно вечером.,On vozvrashchayetsya domoy pozdno vecherom.,He returns home late in the evening.,motion
234,измениться,izmenit'sya,to change (oneself pf),Город сильно изменился за последние годы.,Gorod sil'no izmenilsya za posledniye gody.,The city has changed a lot in recent years.,change
235,заплатить,zaplatit',to pay (pf),Я заплатил за ужин в ресторане.,Ya zaplatil za uzhin v restorane.,I paid for dinner at the restaurant.,possession
236,гулять,gulyat',to walk/stroll,Мы гуляем по набережной каждый вечер.,My gulyayem po naberezhnoy kazhdyy vecher.,We walk along the embankment every evening.,motion
237,выиграть,vyigrat',to win (pf),Она выиграла первый приз в конкурсе.,Ona vyigrala pervyy priz v konkurse.,She won first prize in the competition.,action
238,проверить,proverit',to check (pf),Проверь пожалуйста правильность адреса.,Prover' pozhaluysta pravil'nost' adresa.,Please check the correctness of the address.,cognition
239,отправить,otpravit',to send (pf),Я отправил документы по электронной почте.,Ya otpravil dokumenty po elektronnoy pochte.,I sent the documents by email.,communication
